"station","NAME","LATITUDE","LONGITUDE"
"70306125521","IGIUGIG AIRPORT, AK US","59.32417","-155.90167"
"70308025713","SAINT PAUL ISLAND AIRPORT, AK US","57.15505","-170.22272"
"70316025624","COLD BAY AIRPORT, AK US","55.22068","-162.7323"
"70316525617","SAND POINT AIRPORT, AK US","55.31944","-160.52083"
"70321025513","DILLINGHAM AIRPORT, AK US","59.05","-158.5167"
"70326025503","KING SALMON AIRPORT, AK US","58.68294","-156.65634"
"70333025508","PORT HEIDEN AIRPORT, AK US","56.95917","-158.63167"
"70333325518","CHIGNIK AIRPORT, AK US","56.31139","-158.37306"
"70333425519","EGEGIK AIRPORT, AK US","58.18528","-157.38556"
"70333599999","SOUTH NAKNEK AIRPORT, AK US","58.7","-157.0"
"70340025506","ILIAMNA AIRPORT, AK US","59.74922","-154.90902"
"70340626546","PORT ALSWORTH, AK US","60.2036","-154.3163"
"70340726553","SLEETMUTE AIRPORT, AK US","61.71667","-157.15"
"70341025507","HOMER AIRPORT, AK US","59.64196","-151.49098"
"70343025402","MIDDLETON ISLAND, AK US","59.43333","-146.33333"
"70360525604","PLATINUM AIRPORT, AK US","59.01139","-161.81972"
"70360625629","TOGIAK, AK US","59.06667","-160.36667"
"70360999999","COLDFOOT AIRPORT, AK US","67.252","-150.2038"
"70361025339","YAKUTAT AIRPORT, AK US","59.51211","-139.67103"
"70362025335","SKAGWAY AIRPORT, AK US","59.45383","-135.32769"
"70362125516","SELDOVIA AIRPORT, AK US","59.44597","-151.70653"
"70362625323","HAINES AIRPORT, AK US","59.24287","-135.51139"
"70364427515","NUIQSUT AIRPORT, AK US","70.21262","-150.99441"
"70365526552","HUSLIA AIRPORT, AK US","65.69778","-156.35139"
"70365699999","QUINHAGAK AIRPORT, AK US","59.75","-161.8333333"
"70367025322","GUSTAVUS, AK US","58.4111","-135.7089"
"70381725357","ELFIN COVE, AK US","58.1916","-136.3435"
"70383525628","ST GEORGE ISLAND AIRPORT, AK US","56.57484","-169.66265"
"70385525369","KAKE AIRPORT, AK US","56.96667","-133.9"
"70386025329","PETERSBURG 1, AK US","56.8055","-132.9372"
"70392500112","KOLIGANEK AIRPORT, AK US","59.733","-157.267"
"70414045715","SHEMYA AFB, AK US","52.71667","174.1"
"70454025704","ADAK AIRPORT, AK US","51.88333","-176.65"
"70489800113","ROBERT BOB CURTIS MEMORIAL AIRPORT, AK US","66.818","-161.022"
